,标题,学校,门类/专业,招生人数,发布时间,链接
1249,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,0,2020-02-23 12:21,http://muchong.com/t-14087606-1
1250,上海工程技术大学材料工程学院马晓清老师欢迎2020级硕士研究生调剂,上海工程,工学 -> 材料科学与工程  -> 材料学,2,2020-02-23 12:20,http://muchong.com/t-14087605-1
1251,西南科技大学王大国老师招收矿业工程、安全工程调剂生,西南科大,工学 -> 矿业工程  -> 安全技术及工程,0,2020-02-23 12:17,http://muchong.com/t-14087595-1
1252,大连工大接收调剂研究生,大连工大,工学 -> 材料科学与工程  ,5,2020-02-23 12:06,http://muchong.com/t-14087555-1
1253,上海工程材料学院材料物理化学接收2020调剂研究生,上海工程,工学 -> 材料科学与工程  -> 材料物理与化学,2,2020-02-23 11:51,http://muchong.com/t-14087486-1
1254,太原理工大学招收调剂2020级研究生,太原理工,工学   ,8,2020-02-23 11:49,http://muchong.com/t-14087473-1
1255,调剂研究生12名,北京石油化工学院,工学 -> 动力工程及工程热物理  -> 热能工程,12,2020-02-23 11:47,http://muchong.com/t-14087467-1
1256,石河子大学食品学院油脂中心招生,石河子大学,工学   ,3,2020-02-23 11:46,http://muchong.com/t-14087463-1
1257,2020年上海工程技术大学-材料学科（激光加工与增材制造方向）硕士研究生调剂,上海工程,工学 -> 材料科学与工程  -> 材料加工工程,4,2020-02-23 11:36,http://muchong.com/t-14087433-1
1258,大连工大接收调剂研究生,大连工大,工学 -> 工程[专]  -> 材料工程,5,2020-02-23 11:32,http://muchong.com/t-14087415-1
1259,上海电力大学重点实验室先进储能材料研究团队招收硕士研究生调剂,上海电力,工学 -> 材料科学与工程  -> 材料物理与化学,4,2020-02-23 11:22,http://muchong.com/t-14087375-1
1260,2020年河南理工大学安全功能凝胶材料课题组诚招高分子方向硕士调剂生,河南理工,工学 -> 材料科学与工程  -> 材料物理与化学,2,2020-02-23 11:17,http://muchong.com/t-14087356-1
1261,2020年湖南科技大学海底智能作业机器人创新团队接收调剂生申请的公告,湖南科大,工学 -> 机械工程  ,10,2020-02-23 11:10,http://muchong.com/t-14087323-1
1262,江苏大学能源研究院邓久军研究员招收化工专业调剂研究生,江苏大学,工学 -> 化学工程与技术  ,1,2020-02-23 11:07,http://muchong.com/t-14087308-1
1263,江苏大学能源研究院邓久军研究员招收化工专业调剂研究生,江苏大学,工学 -> 化学工程与技术  ,1,2020-02-23 11:07,http://muchong.com/t-14087306-1
1264,长春工业大学化工类研究生调剂信息--石化资源实验室！！！,长春工业大学,工学 -> 化学工程与技术  ,5,2020-02-23 11:04,http://muchong.com/t-14087288-1
1265,石家庄铁道大学接收调剂研究生,石家庄铁道大学,工学 -> 材料科学与工程  -> 材料学,4,2020-02-23 11:03,http://muchong.com/t-14087284-1
1266,河南理工大学高分子系秦刚课题组接受高分子、材料类、化学化工类专业调剂研究生,河南理工,工学 -> 材料科学与工程  ,4,2020-02-23 11:02,http://muchong.com/t-14087281-1
1267,燕山大学环化学院新能源材料课题组招收2020级硕士研究生,燕山大学,工学 -> 工程[专]  ,4,2020-02-23 10:47,http://muchong.com/t-14087229-1
1268,燕山大学环化学院新能源材料课题组招收2020级硕士研究生,燕山大学,工学 -> 化学工程与技术  ,4,2020-02-23 10:47,http://muchong.com/t-14087229-1
1269,2020年河南理工大学安全功能凝胶材料课题组诚招高分子方向硕士调剂生,河南理工,工学 -> 材料科学与工程  -> 材料学,2,2020-02-23 10:38,http://muchong.com/t-14087189-1
1270,2020年河南理工大学化学化工学院王元课题组招生,河南理工,工学   ,0,2020-02-23 10:36,http://muchong.com/t-14087177-1
1271,江苏大学于卿教授招收化学化工专业硕士研究生,江苏大学,工学   ,1,2020-02-23 10:35,http://muchong.com/t-14087175-1
1272,中国矿业大学（北京）材料化学科研团队关于接收2020年硕士研究生调剂的启事,中国矿业大学（北京）,工学 -> 材料科学与工程  ,15,2020-02-23 10:34,http://muchong.com/t-14087169-1
1273,青岛科技大学绿色能源化工团队招收2020年化学工程、化学工艺专业调剂生,青岛科大,工学 -> 化学工程与技术  ,6,2020-02-23 10:29,http://muchong.com/t-14087145-1
1274,汕头大学赵老师招收电气工程专业调剂研究生,汕头大学,工学 -> 电气工程  ,2,2020-02-23 10:20,http://muchong.com/t-14087122-1
1275,辽宁石化接收调剂研究生,辽宁石化,工学 -> 化学工程与技术  ,2,2020-02-23 10:18,http://muchong.com/t-14087105-1
1276,江苏大学冶金工程硕士招生‖调剂2020,江苏大学,工学 -> 治金工程  ,12,2020-02-23 10:16,http://muchong.com/t-14087100-1
1277,东北石油大学非常规油气研究院接受2020年硕士研究生调剂,东北石油大学,工学 -> 地质资源与地质工程  -> 矿产普查与勘探,0,2020-02-23 10:15,http://muchong.com/t-14087089-1
1278,安徽工业大学化工学院（原华冶）招学生若干，要求学硕+数二,安徽工业大学,工学 -> 化学工程与技术  ,10,2020-02-23 10:04,http://muchong.com/t-14087046-1
1279,2020年广东省江门市五邑大学黄玉冰课题组招化工专业硕士研究生调剂,五邑大学,工学 -> 化学工程与技术  -> 化学工程,1,2020-02-23 10:00,http://muchong.com/t-14087028-1
1280,:victory:江西理工大学-环境工程/学硕和资源与环境/专硕-接收2020年考研调剂生,江西理工,工学 -> 生物工程  -> 环境工程,4,2020-02-23 09:49,http://muchong.com/t-14086969-1
1281,青岛大学海洋纤维新材料研究院招收2020年硕士及调剂生,青岛大学,工学 -> 材料科学与工程  -> 材料学,5,2020-02-23 09:40,http://muchong.com/t-14086930-1
1282,哈尔滨理工大学接收调剂研究生,哈尔滨理工大学,工学 -> 化学工程与技术  -> 化学工程,10,2020-02-23 09:26,http://muchong.com/t-14086859-1
1283,青岛科技大学多相流体课题组招生,青岛科大,工学 -> 力学  -> 流体力学,8,2020-02-23 09:22,http://muchong.com/t-14086843-1
1284,长春工业大学接收调剂研究生,长春工业大学,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-23 09:17,http://muchong.com/t-14086825-1
1285,天津科技大学杨宗政团队招2020博士研究生土壤污染治理方向,天津科大,工学 -> 化学工程与技术  -> 化学工程,1,2020-02-23 09:14,http://muchong.com/t-14086803-1
1286,黑龙江科技大学接收调剂研究生,黑龙江科技大学,工学 -> 化学工程与技术  -> 工业催化,4,2020-02-23 09:08,http://muchong.com/t-14086783-1
1287,东北石油大学接收调剂研究生,东北石油大学,工学 -> 机械工程  -> 机械制造及其自动化,27,2020-02-23 09:04,http://muchong.com/t-14086766-1
1288,江西理工大学-环境工程/学硕和资源与环境/专硕-接收2020年考研调剂生,江西理工,工学 -> 环境科学与工程  -> 环境工程,4,2020-02-23 08:49,http://muchong.com/t-14086710-1
1289,学过四大化学，考研必须考数学，最好力气大吃苦耐劳，方便推荐工作,大连工大,工学 -> 化学工程与技术  ,1,2020-02-23 08:36,http://muchong.com/t-14086664-1
1290,大连工业大学 材料科学与工程专业（高分子材料）  2020考研调剂  必须考数学,大连工大,工学 -> 材料科学与工程  -> 材料学,5,2020-02-23 08:28,http://muchong.com/t-14086629-1
1291,内蒙古科大接收调剂研究生,内蒙古科大,工学 -> 材料科学与工程  -> 材料加工工程,10,2020-02-23 08:10,http://muchong.com/t-14086545-1
1292,内蒙古大学化工学院王蕾课题组接收调剂硕士生,内蒙古大学,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-02-23 08:06,http://muchong.com/t-14086529-1
1293,天津理工大学化学化工学院孟老师课题组招收调剂生2名-有机合成-考数学二,天津理工,工学 -> 化学工程与技术  ,2,2020-02-23 07:51,http://muchong.com/t-14086460-1
1294,青岛科大接收调剂研究生,青岛科大,工学   ,2,2020-02-23 07:42,http://muchong.com/t-14086441-1
1295,江西科技师范大学孟玮博士课题组招收生物、医药等相关专业考研调剂生,江西科技师范大学,工学 -> 生物医学工程  ,1,2020-02-23 07:38,http://muchong.com/t-14086427-1
1296,上海工程接收调剂研究生,上海工程,工学 -> 材料科学与工程  -> 材料加工工程,2,2020-02-23 07:15,http://muchong.com/t-14086379-1
1297,2020年上海工程技术大学 徐培全课题组招收/调剂硕士研究生,上海工程,工学 -> 材料科学与工程  -> 材料物理与化学,6,2020-02-23 07:11,http://muchong.com/t-14086372-1
1298,福建农林大学 材料学院 陈孝云接收化学化工类，材料化学类调剂研究生,福建农林大学,工学   ,5,2020-02-23 07:03,http://muchong.com/t-14086360-1
1299,2020年西南科大“环境修复材料国际研究中心”晏敏皓研究员课题组招生,西南科大,工学 -> 材料科学与工程  -> 材料物理与化学,0,2020-02-23 03:25,http://muchong.com/t-14086294-1
1300,山东轻工接收调剂研究生,山东轻工,工学 -> 轻工技术与工程  -> 制浆造纸工程,3,2020-02-23 03:00,http://muchong.com/t-14086286-1
1301,海南大学接收调剂研究生_已招满,海南大学,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-02-23 02:07,http://muchong.com/t-14086253-1
1302,长春工业大学接收调剂研究生,长春工业大学,工学 -> 材料科学与工程  -> 材料学,3,2020-02-23 00:44,http://muchong.com/t-14086133-1
1303,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2020-02-23 00:24,http://muchong.com/t-14086070-1
1304,江苏大学能源与动力工程学院调剂招生,江苏大学,工学 -> 动力工程及工程热物理  ,1,2020-02-23 00:10,http://muchong.com/t-14086016-1
1305,广西大学接收调剂研究生,广西大学,工学   ,6,2020-02-23 00:03,http://muchong.com/t-14085995-1
1306,汕头大学接收调剂研究生,汕头大学,工学   ,60,2020-02-22 23:52,http://muchong.com/t-14085978-1
1307,【安庆师范大学】张传磊课题组接收2020年化学或材料方向考研调剂生,安庆师范,工学 -> 材料科学与工程  ,2,2020-02-22 23:32,http://muchong.com/t-14085930-1
1308,浙江科技学院智能信号处理与通信算法课题组招生简介,浙江科技,工学 -> 信息与通信工程  ,0,2020-02-22 23:31,http://muchong.com/t-14085926-1
1309,青岛科技大学金欣课题组招收调剂研究生,青岛科大,工学 -> 化学工程与技术  -> 应用化学,3,2020-02-22 23:18,http://muchong.com/t-14085908-1
1310,江苏大学化学新能源李海涛教授团队招收化学、化工相关专业研究生,江苏大学,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-22 23:05,http://muchong.com/t-14085876-1
1311,接收调剂- 西南科技大学生物质材料与核环境安全团队招研究生、博士生,西南科大,工学 -> 材料科学与工程  ,5,2020-02-22 22:52,http://muchong.com/t-14085852-1
1312,纤维基新材料团队接收调剂研究生,山东轻工,工学 -> 轻工技术与工程  -> 制浆造纸工程,5,2020-02-22 22:39,http://muchong.com/t-14085821-1
1313,接收调剂- 西南科技大学生物质材料与核环境安全团队招研究生、博士生,西南科大,工学 -> 材料科学与工程  ,5,2020-02-22 22:34,http://muchong.com/t-14085807-1
1314,西南石油大学化工院接收调剂研究生-林凌老师,西南石油,工学 -> 化学工程与技术  -> 应用化学,2,2020-02-22 22:26,http://muchong.com/t-14085796-1
1315,2020年西南科技大学界面功能材料课题组（霍冀川教授）招材料、化学及化学工程类调剂生,西南科大,工学 -> 材料科学与工程  -> 材料学,2,2020-02-22 21:54,http://muchong.com/t-14085709-1
1316,2020年西南科技大学界面功能材料课题组（霍冀川教授）招材料、化学及化学工程类调剂生,西南科大,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-22 21:54,http://muchong.com/t-14085709-1
1317,上海应用技术大学接收应高分子材料调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,4,2020-02-22 21:50,http://muchong.com/t-14085694-1
1318,浙江科技学院智能信号处理与通信算法课题组招生简介,浙江科技,工学 -> 电子科学与技术  ,0,2020-02-22 21:44,http://muchong.com/t-14085671-1
1319,中国石油大学（北京）非常规油气研究院-储层改造与开发工程研究所有部分调剂指标,中国石油大学（北京）,工学 -> 石油与天然气工程  ,10,2020-02-22 21:40,http://muchong.com/t-14085659-1
1320,大连工大高分子 张勇杰课题组接收调剂研究生,大连工大,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-02-22 21:38,http://muchong.com/t-14085656-1
1321,重庆理工大学接收调剂研究生,重庆理工大学,工学   ,0,2020-02-22 21:37,http://muchong.com/t-14085651-1
1322,沈阳农业大学农业机械化工程侯老师课题组接收研究生,沈阳农大,工学 -> 农业工程  -> 农业机械化工程,0,2020-02-22 21:34,http://muchong.com/t-14085644-1
1323,太原理工大学智能传感与测控课题组招收2020年调剂硕士生,太原理工,工学 -> 电气工程  -> 集成电路工程,12,2020-02-22 21:22,http://muchong.com/t-14085609-1
1324,太原理工大学智能传感与测控课题组招收2020年调剂硕士生,太原理工,工学 -> 仪器科学与技术  ,12,2020-02-22 21:22,http://muchong.com/t-14085609-1
1325,上海工程技术大学材料学院2020硕士调剂（焊接方向）,上海工程,工学 -> 材料科学与工程  -> 材料加工工程,3,2020-02-22 20:37,http://muchong.com/t-14085459-1
1326,江苏大学朱文帅教授团队招收化学，化工，材料与化工相关专业硕士生,江苏大学,工学 -> 化学工程与技术  ,3,2020-02-22 20:16,http://muchong.com/t-14085392-1
1327,大连交大接收调剂研究生,大连交大,工学 -> 材料科学与工程  -> 材料物理与化学,2,2020-02-22 20:08,http://muchong.com/t-14085370-1
1328,安徽理工大学材料学院生物材料课题组招收研究生（含调剂）2-3名,安徽理工,工学 -> 材料科学与工程  -> 材料学,2,2020-02-22 20:04,http://muchong.com/t-14085360-1
1329,河北工程接收调剂研究生,河北工程,工学 -> 光学工程  ,8,2020-02-22 20:04,http://muchong.com/t-14085359-1
1330,河北工程接收调剂研究生,,工学   ,8,2020-02-22 20:04,http://muchong.com/t-14085361-1
1331,长春理工大学材料学院 功能材料及金属材料方向2020年招收调剂硕士研究生,长春理工大学,工学 -> 材料科学与工程  -> 材料物理与化学,5,2020-02-22 19:54,http://muchong.com/t-14085342-1
1332,石家庄铁道大学接收调剂研究生,石家庄铁道大学,工学 -> 化学工程与技术  -> 应用化学,4,2020-02-22 19:50,http://muchong.com/t-14085330-1
1333,江苏大学环境科学与工程-孙建中教授团队考研调剂信息,,工学 -> 环境科学与工程  -> 环境科学,10,2020-02-22 19:21,http://muchong.com/t-14085247-1
1334,江苏大学朱文帅教授团队招收化学，化工，材料与化工相关专业硕士生,江苏大学,工学 -> 化学工程与技术  ,3,2020-02-22 19:12,http://muchong.com/t-14085228-1
1335,江苏大学朱文帅教授团队招收化学，化工，材料与化工相关专业硕士生,江苏大学,工学 -> 化学工程与技术  ,0,2020-02-22 19:11,http://muchong.com/t-14085220-1
1336,石家庄铁道大学接收调剂研究生,石家庄铁道大学,工学 -> 材料科学与工程  -> 材料学,8,2020-02-22 19:05,http://muchong.com/t-14085206-1
1337,2020接受考研调剂，计算机,华侨大学,工学 -> 软件工程  ,3,2020-02-22 18:43,http://muchong.com/t-14085144-1
1338,2020接受考研调剂，计算机,华侨大学,工学 -> 软件工程  ,3,2020-02-22 18:43,http://muchong.com/t-14085143-1
1339,大连工业大学 材料科学与工程专业（高分子材料）  2020接收考研调剂学生  必须考数学,大连工大,工学 -> 材料科学与工程  ,5,2020-02-22 17:58,http://muchong.com/t-14085032-1
1340,合肥学院(合肥大学筹）2020年硕士研究生招生简章,合肥学院,工学 -> 材料科学与工程  -> 材料物理与化学,15,2020-02-22 17:51,http://muchong.com/t-14085009-1
1341,【硕士招生】辽宁石油化工大学王战勇教授课题组招收“生物化工”调剂生,辽宁石化,工学 -> 化学工程与技术  -> 生物化工,3,2020-02-22 17:41,http://muchong.com/t-14084977-1
1342,青岛科技大学工业催化接收调剂,青岛科大,工学 -> 化学工程与技术  -> 工业催化,2,2020-02-22 17:21,http://muchong.com/t-14084929-1
1343,江苏海洋大学机械与海洋工程学院接受材料科学与工程、机械工程学术研究生调剂,淮海工学院,工学 -> 材料科学与工程  -> 材料加工工程,10,2020-02-22 16:49,http://muchong.com/t-14084842-1
1344,山东大学晶体材料研究所刘伟教授招收2020届第一志愿硕士研究生（已截止）,山东大学,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-02-22 16:46,http://muchong.com/t-14084829-1
1345,山东大学晶体材料研究所刘伟教授招收2020届硕士研究生,山东大学,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-02-22 16:46,http://muchong.com/t-14084827-1
1346,厦门理工学院招收材料类、化学类、物理类等相关专业调剂研究生,厦门理工学院,工学 -> 机械工程  ,4,2020-02-22 16:39,http://muchong.com/t-14084798-1
1347,沈阳工大接收调剂研究生,沈阳工大,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-22 16:34,http://muchong.com/t-14084773-1
1348,2020年西南科大“环境修复材料国际研究中心”晏敏皓研究员课题组招生，不要跨专业,西南科大,工学   ,10,2020-02-22 16:29,http://muchong.com/t-14084756-1
1349,辽宁石化接收调剂研究生,辽宁石化,工学 -> 化学工程与技术  ,2,2020-02-22 16:27,http://muchong.com/t-14084748-1
1350,上海海事接收调剂研究生,上海海事,工学 -> 船舶与海洋工程  -> 船舶与海洋结构物设计制造,15,2020-02-22 16:26,http://muchong.com/t-14084739-1
1351,太原理工大学（211，双一流）冰雪环境智能检测与应用课题组招收2020年调剂研究生,太原理工,工学 -> 工程[专]  -> 控制工程,5,2020-02-22 16:23,http://muchong.com/t-14084723-1
1352,太原理工大学（211，双一流）冰雪环境智能检测与应用课题组招收2020年调剂研究生,太原理工,工学 -> 仪器科学与技术  ,5,2020-02-22 16:23,http://muchong.com/t-14084723-1
1353,天津科技大学杨宗政团队接受2020硕士研究生调剂生,天津科大,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-22 16:03,http://muchong.com/t-14084668-1
1354,吉林化工学院多功能纳米生物医用材料研究中心招调剂硕士生,吉林化工,工学 -> 材料科学与工程  ,2,2020-02-22 15:57,http://muchong.com/t-14084642-1
1355,北京邮电大学理学院招收2020年考研调剂生一名，材料科学与工程相关专业,北京邮电大学,工学 -> 材料科学与工程  -> 材料物理与化学,1,2020-02-22 15:57,http://muchong.com/t-14084646-1
1356,安徽理工大学胡劲松教授实验室2020年招收化学、化工相关调剂硕士生1-2名,安徽理工,工学 -> 化学工程与技术  -> 应用化学,2,2020-02-22 15:51,http://muchong.com/t-14084624-1
1357,燕山大学焦体峰教授课题组招收2020级化学、化工专业硕士生(学术/专业型）,燕山大学,工学 -> 化学工程与技术  ,8,2020-02-22 15:38,http://muchong.com/t-14084573-1
1358,赵�矗ü�家qianren）课题组~招收2020届硕士调剂生,上海应用技术学院,工学   ,6,2020-02-22 15:36,http://muchong.com/t-14084559-1
1359,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  ,16,2020-02-22 15:27,http://muchong.com/t-14084535-1
1360,上海工程技术大学 材料科学与工程专业接收调剂研究生生,上海工程,工学 -> 材料科学与工程  -> 材料学,2,2020-02-22 15:22,http://muchong.com/t-14084512-1
1361,燕山大学电气工程学院徐老师课题组拟招收调剂研究生,燕山大学,工学 -> 仪器科学与技术  ,3,2020-02-22 15:16,http://muchong.com/t-14084492-1
1362,欢迎化工、化学、材料、物理等专业的同学调剂。,长春工业大学,工学 -> 化学工程与技术  -> 化学工艺,5,2020-02-22 15:14,http://muchong.com/t-14084485-1
1363,安徽工业大学冶金工程专业氧化物冶金方向接收1名冶金专业学生,安徽工业大学,工学 -> 治金工程  ,1,2020-02-22 15:13,http://muchong.com/t-14084483-1
1364,江苏大学能源研究院邓伊琳资格教授招收化学化工类硕士研究生及调剂 须有数学成绩,江苏大学,工学 -> 化学工程与技术  ,1,2020-02-22 15:13,http://muchong.com/t-14084481-1
1365,江苏大学能源研究院接收调剂研究生,江苏大学,工学 -> 动力工程及工程热物理  -> 工程热物理,2,2020-02-22 15:10,http://muchong.com/t-14084468-1
1366,2020年河南理工大学安全功能凝胶材料课题组诚招高分子方向硕士调剂生,河南理工,工学 -> 材料科学与工程  -> 材料学,2,2020-02-22 15:09,http://muchong.com/t-14084461-1
1367,江西理工大学陈云嫩老师课题组2020年招收调剂生（化学、材料等工科考生）,江西理工,工学 -> 环境科学与工程  -> 环境工程,3,2020-02-22 15:06,http://muchong.com/t-14084448-1
1368,竺宁课题组招收调剂生,内蒙古工业大学,工学 -> 化学工程与技术  -> 化学工艺,0,2020-02-22 15:06,http://muchong.com/t-14084449-1
1369,上海工程技术大学2020硕士调剂,上海工程,工学 -> 材料科学与工程  -> 材料物理与化学,4,2020-02-22 15:02,http://muchong.com/t-14084432-1
1370,河南理工接收调剂研究生,河南理工,工学 -> 矿业工程  -> 矿物加工工程,1,2020-02-22 14:46,http://muchong.com/t-14084370-1
1371,西南科技大学戴亚堂老师课题组2020年招收调剂生（化学、材料、物理等工科考生）,西南科大,工学 -> 化学工程与技术  ,3,2020-02-22 14:45,http://muchong.com/t-14084364-1
1372,河南理工接收调剂研究生,河南理工,工学 -> 矿业工程  -> 矿物加工工程,1,2020-02-22 14:43,http://muchong.com/t-14084356-1
1373,长沙理工大学食品专业程云辉课题组接收调剂生,长沙理工,工学 -> 食品科学与工程  -> 食品科学,10,2020-02-22 14:42,http://muchong.com/t-14084352-1
1374,安徽理工大学张雷教授课题组2020年招收化学，材料相关专业硕士研究生1-2名,安徽理工,工学 -> 化学工程与技术  -> 应用化学,2,2020-02-22 14:24,http://muchong.com/t-14084304-1
1375,上海工程技术大学 材料科学与工程-材料加工工程 接收调剂研究生,上海工程,工学 -> 材料科学与工程  -> 材料加工工程,3,2020-02-22 14:20,http://muchong.com/t-14084291-1
1376,2020燕山大学环境与化学工程学院 高大威课题组招收调剂,燕山大学,工学 -> 化学工程与技术  -> 生物化工,4,2020-02-22 13:55,http://muchong.com/t-14084186-1
1377,大连工业大学高分子材料成型加工以及模具招收调剂研究生,大连工大,工学 -> 材料科学与工程  -> 材料加工工程,1,2020-02-22 13:52,http://muchong.com/t-14084171-1
1378,江苏大学接收调剂研究生,江苏大学,工学 -> 动力工程及工程热物理  -> 工程热物理,2,2020-02-22 13:45,http://muchong.com/t-14084150-1
1379,湘潭大学环境与资源学院 环境生物技术课题组接收2020硕士考研调剂1-2名,湘潭大学,工学 -> 环境科学与工程  -> 环境科学,1,2020-02-22 13:40,http://muchong.com/t-14084130-1
1380,北京石油化工学院机器人应用技术研究所接收调剂研究生,北京石油化工学院,工学 -> 机械工程  -> 机械电子工程,0,2020-02-22 13:36,http://muchong.com/t-14084116-1
1381,江苏大学 化学化工学院 有机合成及化学工艺方向 招收硕士生/接受调剂,江苏大学,工学 -> 化学工程与技术  ,2,2020-02-22 13:21,http://muchong.com/t-14084065-1
1382,江苏大学 化学化工学院 有机合成及化学工艺方向 招收硕士生/接受调剂,江苏大学,工学 -> 化学工程与技术  ,2,2020-02-22 13:21,http://muchong.com/t-14084066-1
1383,江苏大学 化学化工学院 有机合成及化学工艺方向 招收硕士生/接受调剂,江苏大学,工学 -> 化学工程与技术  ,2,2020-02-22 13:20,http://muchong.com/t-14084064-1
1384,上海工程接收调剂研究生,上海工程,工学 -> 材料科学与工程  -> 材料物理与化学,2,2020-02-22 13:19,http://muchong.com/t-14084062-1
1385,天津科技大学化工学院能源、环境催化及油田化学品应用技术团队招收2020级硕士研究生,天津科大,工学 -> 化学工程与技术  -> 分析化学,100,2020-02-22 13:16,http://muchong.com/t-14084049-1
1386,天津科技大学化工学院能源、环境催化及油田化学品应用技术团队招收2020级硕士研究生,天津科大,工学 -> 化学工程与技术  ,100,2020-02-22 13:16,http://muchong.com/t-14084050-1
1387,淮阴工学院生物化工方向接收生物工程、食品科学等相关专业研究生 工科专业硕士,淮阴工学院,工学   ,34,2020-02-22 13:05,http://muchong.com/t-14084024-1
1388,福建师范大学数信学院肖如良教授教授招收计算机专业调剂生（限学术型硕士）,福建师范大学,工学 -> 计算机科学与技术  ,2,2020-02-22 13:05,http://muchong.com/t-14084021-1
1389,中国地质大学（北京）材料学院副教授佟望舒招收硕士研究生,中国地质大学（北京）,工学 -> 材料科学与工程  ,2,2020-02-22 13:05,http://muchong.com/t-14084020-1
1390,淮阴工学院生物化工方向接收生物工程、食品科学等相关专业研究生 工科专业硕士,淮阴工学院,工学 -> 生物医学工程  ,34,2020-02-22 13:04,http://muchong.com/t-14084019-1
1391,淮阴工学院生物化工方向接收生物工程、食品科学等相关专业研究生 工科专业硕士,淮阴工学院,工学 -> 生物工程  ,34,2020-02-22 13:04,http://muchong.com/t-14084019-1
1392,天津科技大学化工学院能源、环境催化及油田化学品应用技术团队招收2020级硕士研究生,天津科大,工学   ,100,2020-02-22 13:00,http://muchong.com/t-14084006-1
1393,接受2020年硕士调剂（材料、化学等方向，需考数一或二）―南林大（双一流）,南京林大,工学 -> 材料科学与工程  ,2,2020-02-22 12:49,http://muchong.com/t-14083976-1
1394,郑州大学第一附属医院生物细胞治疗中心张毅教授团队招收2020年985院校考研调剂生,郑州大学,工学 -> 生物工程  ,6,2020-02-22 12:44,http://muchong.com/t-14083955-1
1395,江苏大学化学化工学院表界面缺陷模式研究小组招收硕士调剂生,江苏大学,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-22 12:40,http://muchong.com/t-14083945-1
1396,天津科大接收调剂研究生,天津科大,工学 -> 材料科学与工程  ,4,2020-02-22 12:33,http://muchong.com/t-14083922-1
1397,河北科技大学材料学院招收材料与化工方向调剂研究生,河北科技,工学 -> 材料科学与工程  ,10,2020-02-22 12:31,http://muchong.com/t-14083908-1
1398,上海工程技术大学王博副教授课题组2020年研究生招生,上海工程,工学 -> 材料科学与工程  -> 材料学,3,2020-02-22 12:25,http://muchong.com/t-14083882-1
1399,西南科技大学省重点实验室孙红娟、彭同江老师招收环境科学与工程方向调剂,西南科大,工学 -> 环境科学与工程  -> 环境科学,3,2020-02-22 12:04,http://muchong.com/t-14083806-1
1400,上海应用技术大学朱勇强教授招收调剂研究生（环境、化学相关专业）,上海应用技术学院,工学 -> 化学工程与技术  -> 化学工程,3,2020-02-22 12:03,http://muchong.com/t-14083798-1
1401,祝福。,江西师大,工学 -> 信息与通信工程  ,0,2020-02-22 12:02,http://muchong.com/t-14083791-1
1402,内蒙古农业大学硕士预调剂信息-（木材科学与技术+林业工程）,内蒙古农大,工学 -> 林业工程  ,0,2020-02-22 11:55,http://muchong.com/t-14083769-1
1403,燕山大学焦体峰教授课题组招收2020级化学、化工专业硕士生(学术/专业型）,燕山大学,工学 -> 化学工程与技术  ,6,2020-02-22 11:41,http://muchong.com/t-14083722-1
1404,东北石油大学化学化工学院谷笛老师招收化学化工、环境方向调剂研究生,东北石油大学,工学   ,2,2020-02-22 11:39,http://muchong.com/t-14083718-1
1405,石家庄铁道大学接收调剂研究生,石家庄铁道大学,工学 -> 化学工程与技术  -> 化学工程,4,2020-02-22 11:33,http://muchong.com/t-14083687-1
1406,内蒙古工业大学竺宁课题组招收调剂生（考研科目中考数学和有机化学的优先）,内蒙古工业大学,工学 -> 化学工程与技术  -> 化学工程,0,2020-02-22 11:30,http://muchong.com/t-14083675-1
1407,大连工大接收调剂三名，纤维复合材料，光学工程和材料工程,大连工大,工学 -> 光学工程  ,10,2020-02-22 11:23,http://muchong.com/t-14083648-1
1408,2020年石家庄铁道大学材料学院肖凤娟老师课题组考研调剂信息,石家庄铁道大学,工学 -> 材料科学与工程  -> 材料学,0,2020-02-22 11:16,http://muchong.com/t-14083614-1
1409,华北理工大学 能源化工课题组招收2020级化工和化学专业调剂研究生,河北联合大学,工学 -> 化学工程与技术  -> 化学工程,10,2020-02-22 11:12,http://muchong.com/t-14083603-1
1410,华北理工大学 能源化工课题组招收2020级化工和化学专业调剂研究生,河北联合大学,工学 -> 化学工程与技术  -> 化学工程,10,2020-02-22 11:12,http://muchong.com/t-14083602-1
1411,沈阳化工大学张建伟、冯颖老师招收调剂,沈阳化工,工学 -> 动力工程及工程热物理  -> 流体机械及工程,12,2020-02-22 11:08,http://muchong.com/t-14083583-1
